iter	RMSE
0	17.36736833
1	16.66443259
2	15.98630057
3	15.33797036
4	14.71337185
5	14.1153756
6	13.54431393
7	13.01290658
8	12.50176653
9	12.00353353
10	11.51696233
11	11.06004596
12	10.63023843
13	10.21802146
14	9.813870534
15	9.436465575
16	9.074732728
17	8.734504628
18	8.398738581
19	8.068978206
20	7.759908815
21	7.4647856
22	7.183970198
23	6.918179828
24	6.662471299
25	6.414827105
26	6.178287279
27	5.957230585
28	5.747761095
29	5.548790812
30	5.365539262
31	5.183390985
32	5.011321908
33	4.846581148
34	4.689777533
35	4.533302776
36	4.388139887
37	4.255997106
38	4.129467908
39	4.004427682
40	3.890310248
41	3.778479844
42	3.678050412
43	3.579184012
44	3.483743779
45	3.395421283
46	3.313752747
47	3.237300005
48	3.162891952
49	3.093671123
50	3.025203493
51	2.967573832
52	2.906601657
53	2.851530177
54	2.797812257
55	2.748824153
56	2.70235492
57	2.654130169
58	2.615121073
59	2.580397206
60	2.545057175
61	2.513269704
62	2.482737624
63	2.455874739
64	2.430755217
65	2.405612244
66	2.380801314
67	2.359489641
68	2.338259806
69	2.318200207
70	2.300465635
71	2.283474075
72	2.267200221
73	2.251268613
74	2.236899638
75	2.225802722
76	2.214477306
77	2.201013221
78	2.191826897
79	2.180839346
80	2.172417632
81	2.164153586
82	2.156360543
83	2.149824948
84	2.142856094
85	2.136210206
86	2.129459654
87	2.123622874
88	2.110943065
89	2.099937392
90	2.090845993
91	2.082896741
92	2.077323438
93	2.071072585
94	2.067292724
95	2.058759484
96	2.052623248
97	2.047770632
98	2.042928186
99	2.040738526
100	2.037865647
101	2.034420695
102	2.03129608
103	2.026798646
104	2.022891654
105	2.015551687
106	2.013467621
107	2.010696373
108	2.009579647
109	2.007690204
110	2.003631228
111	1.999320629
112	1.992236089
113	1.989880463
114	1.989402675
115	1.987862175
116	1.98645045
117	1.984678041
118	1.982645657
119	1.975155538
120	1.973265214
121	1.970840798
122	1.967342597
123	1.958352523
124	1.95669721
125	1.955822226
126	1.954938228
127	1.954850728
128	1.953512124
129	1.951272147
130	1.950105797
131	1.947957342
132	1.946027937
133	1.944256331
134	1.944230684
135	1.943795044
136	1.937681003
137	1.936916661
138	1.933782817
139	1.932735161
140	1.932578339
141	1.931696519
142	1.931675282
143	1.931337038
144	1.928701623
145	1.92865407
146	1.928251899
147	1.928058761
148	1.920681683
149	1.919472117
150	1.91829104
151	1.917418758
152	1.91735457
153	1.915489303
154	1.915005143
155	1.914889101
156	1.914678669
157	1.911738079
158	1.911501336
159	1.910346001
160	1.910325637
161	1.910320268
162	1.910312739
163	1.910247264
164	1.909869549
165	1.903617816
166	1.903153183
167	1.90307724
168	1.903057913
169	1.903052648
170	1.903047816
171	1.901282106
172	1.900024639
173	1.898865363
174	1.897445638
175	1.897348156
176	1.893510441
177	1.892896357
178	1.890030031
179	1.88998637
180	1.889768175
181	1.889503349
182	1.88744618
183	1.886970318
184	1.886968818
185	1.885109381
186	1.885109256
187	1.885070233
188	1.884879801
189	1.884747205
190	1.884734071
191	1.884505571
192	1.884491934
193	1.884485365
194	1.883456793
195	1.88343714
196	1.883435262
197	1.883276588
198	1.883257371
199	1.883237841
200	1.880530758
201	1.880529755
202	1.88052474
203	1.880433904
204	1.880251403
205	1.879674945
206	1.879674443
207	1.879661523
208	1.879647538
209	1.879642834
210	1.879638757
211	1.879608402
212	1.879606583
213	1.87805279
214	1.877937164
215	1.87793346
216	1.877931451
217	1.877931388
218	1.877922286
219	1.872464284
220	1.872460381
221	1.872456855
222	1.872454589
223	1.872451189
224	1.872445082
225	1.872443571
226	1.872443445
227	1.872443445
228	1.871081167
229	1.871079151
230	1.871075434
231	1.871071968
232	1.866025963
233	1.866023309
234	1.86602312
235	1.865761685
236	1.865759031
237	1.865756567
238	1.865756377
239	1.865754103
240	1.865752018
241	1.865750122
242	1.865749743
243	1.865740645
244	1.865739128
245	1.865738686
246	1.865737169
247	1.86573679
248	1.865735337
249	1.86573401
250	1.865733442
251	1.865732241
252	1.865731041
253	1.865730093
254	1.865729019
255	1.865720173
256	1.865719541
257	1.865719035
258	1.865718593
259	1.865718151
260	1.865716824
261	1.865715687
262	1.865714613
