,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,18 days,146.87288518903145,12.119112392788155,9.42910938202868,0.14180053635331683,0.10797853625190608,0.1554490449645558,0.6644444444444444
1,19 days,150.02969703217477,12.24866103017692,9.534274101396464,0.14352566228519012,0.10829341131722771,0.1577066940422818,0.6644444444444444
2,20 days,154.60626274957775,12.434076674589784,9.673284399306981,0.1459114073653127,0.10983545558603926,0.16064614701822844,0.6666666666666666
3,21 days,158.42898128225673,12.586857482400312,9.799990822451582,0.14829695885202754,0.1137597255133477,0.16356911625524162,0.6644444444444444
4,22 days,162.40204848125936,12.743706230185133,9.90959550954336,0.15027060202429118,0.1142194172657765,0.16613840089423984,0.6688888888888889
5,23 days,167.22478087641872,12.931542091971039,10.031795545214164,0.1523832771244623,0.11450547378394577,0.1688790116960451,0.6711111111111111
6,24 days,171.72175915185878,13.104264922225084,10.13351138455855,0.15435792366828793,0.11480000074733457,0.17159394634383365,0.6755555555555556
7,25 days,175.65675838573927,13.253556442922754,10.219197226430776,0.15614198229672993,0.11541244540554393,0.17403965173757424,0.68
8,26 days,179.5684020602879,13.400313506044846,10.299275661488087,0.15787088166882626,0.11622572149805152,0.17646986777262802,0.6822222222222222
9,27 days,183.56506876691859,13.548618703281843,10.393626246887143,0.159806570445763,0.11741097288674146,0.17920414439863938,0.6844444444444444
10,28 days,187.1222374418411,13.67926304454451,10.464972668693571,0.1613294117104318,0.11789096216009534,0.1816308770156181,0.6888888888888889
11,29 days,191.05684768803746,13.822331485246528,10.519716566579135,0.1626264863288366,0.11789096216009534,0.18377638138844274,0.6866666666666666
12,30 days,194.18556109749912,13.93504794026555,10.564892241274583,0.16386783297881274,0.11841292650145593,0.1857830338132144,0.6844444444444444
13,31 days,197.04506139083148,14.037274001416069,10.631486342112858,0.16579574724858623,0.1184385366939692,0.18839630946780242,0.68
14,32 days,200.88010888969373,14.173218014610999,10.69656072272607,0.1673900896797862,0.11863584038772937,0.19078750599341238,0.6777777777777778
15,33 days,204.29535135617107,14.293192483002915,10.77680621071698,0.16913384300058532,0.11951009008429378,0.1933445165923051,0.6711111111111111
16,34 days,206.13365243254435,14.357355342560284,10.818752741105737,0.1704637527149632,0.11951009008429378,0.19541548571599163,0.6666666666666666
17,35 days,207.58767870932837,14.407903341892892,10.847569678210498,0.17164879979285716,0.11930806137465694,0.19728738522882164,0.6644444444444444
18,36 days,210.88015302212108,14.521713157273183,10.920579238011358,0.17314189227759866,0.12015441189273855,0.19962375362376847,0.6622222222222223
19,37 days,215.21124222468558,14.67007983020834,11.023807830371204,0.1750269463886132,0.12302284951794322,0.20240845470147686,0.6555555555555556
20,38 days,218.78078111394566,14.79124001272191,11.088731575400624,0.1765184923663586,0.12309731663722413,0.2047317512065049,0.6511111111111111
21,39 days,223.69118627563128,14.956309246456202,11.202022439441405,0.17848109584497177,0.12302284951794322,0.2076131548150392,0.6488888888888888
22,40 days,227.71820648781468,15.09033486996941,11.295583054218003,0.18036171825734335,0.12333749701847405,0.21040791967315733,0.6422222222222222
23,41 days,231.2615892585252,15.207287373444522,11.393714351673655,0.18235900490839418,0.12496014278991983,0.21337169662455144,0.6355555555555555
24,42 days,235.13591127133373,15.33414201288529,11.50337616815495,0.1842646649248499,0.12656477773062072,0.2160891465971022,0.6266666666666667
25,43 days,239.02181524334227,15.460330373033504,11.597069205601946,0.18584266182709225,0.1264579318141586,0.21845171441016226,0.62
26,44 days,241.9342418830894,15.554235496580647,11.66828269299513,0.18719195943611913,0.12683331652433355,0.22055120033870673,0.6177777777777778
27,45 days,244.9563702077735,15.651082077855623,11.726809619951453,0.18841807618986808,0.12804056855953555,0.2224277166762876,0.62
28,46 days,248.63839477880728,15.768271775270975,11.82068256262082,0.18987246532239185,0.12931869043522015,0.22447351723171455,0.6155555555555555
29,47 days,252.83133104862605,15.900670773543677,11.91917357264548,0.19179480573083948,0.13029039481631782,0.22677841784868202,0.6111111111111112
